,sigma8,Omega_cdm,Omega_b,h,n_s,tau
30532,0.80805241,0.26991863,0.049479847,0.66818368,0.96329477,0.051673694
30533,0.80781609,0.27025726,0.049520773,0.66798084,0.96313323,0.050802056
30534,0.8050259,0.2680526,0.049218796,0.67061577,0.9602748,0.050593011
30535,0.80503261,0.26813089,0.049223655,0.67055446,0.96023129,0.050563597
30536,0.80500717,0.2680095,0.049213903,0.67065149,0.96023828,0.050711204
30537,0.80691738,0.27240238,0.04974709,0.66737221,0.96076943,0.051003408
30538,0.80863778,0.27549208,0.050029085,0.66500463,0.9579752,0.051099339
30539,0.80933125,0.27729739,0.050167887,0.663476,0.95736104,0.050585965
30540,0.81022379,0.27691261,0.05014489,0.66385337,0.95811279,0.051262676
30541,0.79449579,0.27187032,0.049828001,0.66783658,0.95717122,0.029691719
30542,0.79499369,0.27278176,0.049871566,0.66702471,0.95629696,0.030128546
30543,0.79648857,0.26687945,0.049437208,0.67143944,0.96154263,0.036489786
30544,0.79596081,0.26514776,0.049264661,0.67287041,0.96267829,0.03713429
30545,0.81791631,0.25793248,0.048680216,0.67826032,0.9695425,0.068308129
30546,0.82221061,0.25612856,0.048558709,0.67982664,0.97034677,0.075069115
30547,0.81204111,0.25939369,0.048714656,0.67852339,0.96654426,0.054524671
30548,0.81259709,0.25929807,0.048707505,0.6787296,0.96623783,0.055844061
30549,0.81166551,0.26273748,0.049060053,0.675953,0.96331378,0.052259524
30550,0.80915138,0.27523188,0.049848204,0.66476665,0.95729297,0.045374376
30551,0.80850267,0.27031834,0.049444058,0.66858431,0.95736433,0.051482601
30552,0.80910802,0.26879719,0.049311823,0.66997813,0.95912462,0.052821221
30553,0.80768238,0.2573149,0.049010204,0.67943097,0.96616362,0.058216844
30554,0.80360549,0.25573114,0.048827264,0.68040659,0.96741271,0.055411102
30555,0.79811904,0.24933668,0.048206987,0.6858173,0.97119737,0.052757211
30556,0.80385553,0.25533682,0.048655827,0.68143783,0.96889343,0.051127005
30557,0.80118811,0.25739812,0.048872002,0.67938984,0.97071292,0.044211804
30558,0.80686425,0.25846897,0.048458649,0.67859777,0.97307434,0.048581935
30559,0.81040013,0.26086241,0.048719169,0.67717252,0.9696505,0.050164772
30560,0.80924394,0.2615821,0.048740486,0.67644151,0.96851592,0.049150445
30561,0.80908573,0.26154646,0.048734387,0.67646933,0.96847912,0.049006804
30562,0.8036394,0.25844831,0.048650619,0.67851649,0.96693375,0.047302188
30563,0.80434818,0.25666522,0.048425137,0.679673,0.96776207,0.054841806
30564,0.80356848,0.26323883,0.049066842,0.6741295,0.9617807,0.049785748
30565,0.80437168,0.26566313,0.049249903,0.67212817,0.96069195,0.049646277
30566,0.80435045,0.265813,0.04926046,0.67200314,0.96064418,0.04955248
30567,0.8061984,0.26594007,0.049255899,0.67166768,0.96106919,0.051665642
30568,0.8103614,0.27144743,0.049742305,0.6676981,0.95953274,0.049392732
30569,0.81230626,0.26903745,0.049587088,0.66954064,0.96069279,0.052841452
30570,0.8147367,0.26827876,0.049503306,0.67009157,0.96137319,0.058541336
30571,0.81527596,0.26776362,0.0494723,0.67062879,0.96166806,0.059249454
30572,0.81476451,0.26424245,0.049062538,0.67344629,0.966584,0.060098102
30573,0.81541412,0.26221101,0.048901962,0.67511596,0.96713055,0.062123675
30574,0.81539903,0.2619387,0.048866413,0.67532135,0.96695122,0.062343313
30575,0.80629367,0.26449282,0.049461917,0.6729839,0.96433392,0.050637006
30576,0.80151196,0.25680331,0.04879029,0.67876576,0.97016856,0.053417912
30577,0.80262943,0.25554907,0.048753529,0.68015918,0.96868777,0.054128187
30578,0.80465024,0.2555262,0.048548221,0.67976007,0.96794721,0.056494269
30579,0.8195517,0.26180344,0.049032125,0.67498107,0.96791376,0.070572713
30580,0.8173859,0.26750937,0.049559973,0.67171934,0.96707058,0.061267383
30581,0.80655851,0.25350614,0.04853193,0.68245599,0.96866884,0.063788662
30582,0.80602006,0.25408243,0.048557619,0.68195354,0.96799808,0.062733067
30583,0.80904819,0.25016587,0.048188557,0.6852865,0.96811201,0.067234183
30584,0.80857172,0.2529811,0.048411856,0.68295157,0.96821756,0.063664234
30585,0.80948971,0.25379991,0.048462093,0.68224849,0.96772568,0.063980657
30586,0.81026553,0.25509816,0.048521696,0.68159669,0.96720189,0.062580298
30587,0.80857347,0.2535079,0.048370894,0.68287864,0.9683248,0.060260226
30588,0.8090319,0.25326187,0.048374321,0.68309595,0.96892783,0.061241748
30589,0.81143564,0.25578919,0.048530647,0.68094659,0.96815089,0.062200813
30590,0.8091898,0.25369481,0.048260918,0.68208788,0.96842645,0.061436928
30591,0.8091245,0.25433074,0.048286065,0.68159972,0.96805758,0.060176429
30592,0.80956889,0.25478059,0.048308535,0.68119708,0.96889777,0.061190528
